               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.054322,            0.018795,            0.065069,             0.27654,             0.53338,             0.38652,             0.23607,            0.028593,            0.008148,            0.046649,           0.0033274,           0.0033274,            0.070053
                   1,            0.040325,            0.010813,            0.037665,             0.76567,             0.85705,             0.87982,             0.53548,            0.029363,           0.0070656,            0.019669,           0.0066604,           0.0066604,            0.040053
                   2,            0.036682,            0.010901,            0.021617,             0.85733,             0.79183,             0.88093,             0.60376,            0.027435,           0.0088555,            0.016348,           0.0099919,           0.0099919,            0.010051
                   3,            0.031185,            0.010671,            0.016096,             0.94315,             0.93826,             0.97519,             0.70962,            0.022978,           0.0066466,           0.0076223,            0.009995,            0.009995,            0.009995
                   4,            0.027931,            0.009878,             0.01299,             0.96488,             0.94878,             0.98425,             0.76045,            0.019815,           0.0062059,           0.0057243,            0.009995,            0.009995,            0.009995
                   5,            0.026273,           0.0095204,            0.011039,             0.96126,             0.94428,             0.97952,             0.75717,             0.01992,            0.006253,           0.0055692,           0.0099911,           0.0099911,           0.0099911
                   6,            0.024964,           0.0091011,            0.010385,             0.94117,             0.91694,              0.9644,             0.75156,            0.019259,           0.0060814,           0.0074374,           0.0099861,           0.0099861,           0.0099861
                   7,            0.024322,           0.0088803,           0.0096453,             0.97024,             0.96162,             0.98819,             0.78783,            0.017729,           0.0056778,           0.0041268,             0.00998,             0.00998,             0.00998
                   8,            0.023385,           0.0086862,           0.0087418,             0.97666,             0.97108,               0.989,             0.79523,            0.017664,           0.0055058,           0.0035616,           0.0099728,           0.0099728,           0.0099728
                   9,            0.022903,           0.0084507,           0.0083736,             0.98175,             0.97109,              0.9906,              0.8075,            0.016634,           0.0053193,           0.0033475,           0.0099645,           0.0099645,           0.0099645
