               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10281,            0.031106,            0.074555,                   0,                   0,                   0,                   0,             0.08253,            0.027681,            0.072612,             0.00101,             0.00101,             0.09091
                   1,            0.083848,            0.034688,            0.068225,             0.58867,            0.015351,           0.0058924,           0.0013524,            0.069369,            0.028661,            0.062115,           0.0020295,           0.0020295,             0.08173
                   2,            0.069616,             0.03244,            0.061781,            0.023944,             0.22112,            0.038831,            0.011294,            0.059614,              0.0208,            0.058142,           0.0030473,           0.0030473,            0.072547
                   3,            0.061871,            0.024537,            0.058911,             0.11399,             0.30402,            0.092423,            0.025793,            0.053815,            0.016739,            0.053835,           0.0040619,           0.0040619,            0.063362
                   4,            0.058047,            0.021706,            0.055221,            0.051003,             0.22892,            0.076674,            0.027977,             0.05468,            0.017722,            0.051807,           0.0050719,           0.0050719,            0.054172
                   5,            0.057657,            0.020481,            0.054533,            0.095153,             0.40894,             0.14224,            0.059885,            0.044916,            0.014727,             0.05013,           0.0060761,           0.0060761,            0.044976
                   6,            0.053705,            0.019781,            0.052938,             0.11498,             0.44724,             0.21145,             0.12022,            0.038234,            0.013735,            0.048464,           0.0070732,           0.0070732,            0.035773
                   7,            0.048867,            0.018241,            0.050974,             0.19687,              0.4336,             0.26733,             0.13794,            0.039363,            0.012532,            0.047074,           0.0080617,           0.0080617,            0.026562
                   8,            0.050971,            0.017478,            0.050481,             0.17688,             0.51535,             0.25591,              0.1444,            0.037532,            0.012629,            0.046082,           0.0090404,           0.0090404,             0.01734
                   9,             0.04683,            0.017308,            0.047583,             0.16579,             0.70431,             0.32695,             0.16074,            0.038984,            0.012332,             0.04332,           0.0098213,           0.0098213,           0.0098213
                  10,            0.045106,            0.016501,            0.045514,             0.53981,             0.34699,             0.36968,             0.20224,            0.036055,            0.011866,             0.04056,           0.0098213,           0.0098213,           0.0098213
                  11,            0.040623,            0.015014,            0.043628,             0.26837,             0.62021,              0.4487,             0.24456,            0.033289,            0.010928,            0.039559,           0.0097798,           0.0097798,           0.0097798
