               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.054407,            0.018803,            0.065053,             0.29618,             0.52974,             0.41002,             0.24179,            0.028937,           0.0075897,             0.04631,           0.0033274,           0.0033274,            0.070053
                   1,            0.040236,            0.010801,            0.037733,              0.7461,             0.82095,             0.84805,              0.5507,            0.028661,           0.0074084,             0.02075,           0.0066593,           0.0066593,            0.040052
                   2,            0.036445,            0.010869,            0.021835,             0.70244,             0.63084,             0.68878,              0.4471,            0.034358,            0.012822,            0.025321,           0.0099852,           0.0099852,            0.010044
                   3,            0.031387,            0.010723,            0.016266,             0.92765,             0.91647,              0.9676,             0.72368,            0.022137,           0.0066602,           0.0084307,             0.00998,             0.00998,             0.00998
                   4,            0.027881,           0.0099334,            0.013247,             0.95617,             0.92646,             0.97652,             0.75125,            0.020351,           0.0062933,           0.0068181,             0.00998,             0.00998,             0.00998
                   5,            0.026151,            0.009524,            0.011279,             0.95649,             0.93929,              0.9797,             0.75643,            0.019188,           0.0060963,           0.0058419,           0.0099645,           0.0099645,           0.0099645
                   6,            0.025071,           0.0090519,            0.010279,             0.97041,             0.95379,             0.98471,             0.76677,            0.019171,            0.005858,           0.0050734,           0.0099446,           0.0099446,           0.0099446
                   7,            0.024162,           0.0087913,           0.0095566,             0.96118,             0.96135,             0.98664,             0.78487,            0.017993,           0.0057373,           0.0048154,           0.0099203,           0.0099203,           0.0099203
                   8,            0.023356,           0.0087203,           0.0088176,             0.97537,              0.9608,             0.98741,             0.78921,            0.018145,           0.0056322,           0.0042824,           0.0098916,           0.0098916,           0.0098916
                   9,            0.022783,            0.008438,            0.008279,             0.98192,             0.97611,             0.99145,             0.80708,            0.016686,           0.0053216,           0.0032278,           0.0098586,           0.0098586,           0.0098586
                  10,            0.022441,           0.0083247,           0.0080769,              0.9808,             0.96725,             0.99155,             0.81004,            0.016422,           0.0052408,           0.0033533,           0.0098213,           0.0098213,           0.0098213
                  11,            0.021971,           0.0082947,           0.0077359,             0.98019,             0.97802,             0.99129,             0.81871,             0.01625,           0.0051755,           0.0030099,           0.0097798,           0.0097798,           0.0097798
                  12,            0.021698,           0.0082331,           0.0076635,             0.97787,             0.97489,              0.9905,             0.81687,            0.015955,           0.0051238,           0.0030276,            0.009734,            0.009734,            0.009734
                  13,             0.02135,           0.0080591,           0.0073026,             0.98196,             0.97937,             0.99185,             0.82334,            0.015888,           0.0050896,           0.0029827,            0.009684,            0.009684,            0.009684
                  14,            0.021123,           0.0080707,           0.0070802,             0.98885,              0.9762,             0.99273,             0.83392,            0.015083,           0.0048996,           0.0024991,           0.0096299,           0.0096299,           0.0096299
                  15,            0.020966,           0.0078968,           0.0070205,             0.98676,             0.98319,             0.99224,             0.83354,            0.015116,           0.0048712,           0.0024136,           0.0095717,           0.0095717,           0.0095717
                  16,            0.020793,           0.0079574,           0.0069942,             0.98274,             0.98542,             0.99226,             0.83399,             0.01499,           0.0048823,           0.0024771,           0.0095095,           0.0095095,           0.0095095
                  17,            0.020507,            0.007922,           0.0063809,             0.98298,             0.98853,             0.99273,             0.83632,             0.01481,           0.0047866,           0.0023131,           0.0094434,           0.0094434,           0.0094434
                  18,             0.02029,           0.0078017,           0.0066197,             0.99004,             0.98539,             0.99324,             0.83203,            0.014873,           0.0048267,           0.0019883,           0.0093733,           0.0093733,           0.0093733
                  19,            0.020351,           0.0078716,           0.0064303,             0.99115,             0.98519,             0.99284,             0.83658,            0.014503,           0.0046728,           0.0020069,           0.0092995,           0.0092995,           0.0092995
                  20,            0.019975,            0.007701,           0.0060462,             0.98942,             0.98674,             0.99311,             0.84333,             0.01431,           0.0046473,           0.0019225,           0.0092219,           0.0092219,           0.0092219
                  21,            0.019872,           0.0077056,           0.0061352,             0.99346,             0.98737,             0.99246,             0.84256,            0.014257,           0.0046248,           0.0017292,           0.0091406,           0.0091406,           0.0091406
                  22,            0.019903,           0.0076891,           0.0061529,             0.99099,             0.98965,             0.99311,             0.84444,            0.014282,           0.0045845,           0.0018351,           0.0090557,           0.0090557,           0.0090557
                  23,            0.019678,            0.007629,           0.0059847,              0.9938,             0.98788,             0.99323,             0.84534,            0.014111,           0.0045323,           0.0016236,           0.0089673,           0.0089673,           0.0089673
                  24,            0.019493,           0.0075457,           0.0060062,             0.99129,             0.98802,             0.99364,             0.84522,            0.014059,           0.0045579,            0.001558,           0.0088755,           0.0088755,           0.0088755
                  25,            0.019474,           0.0075123,           0.0057515,             0.99078,             0.99025,             0.99407,             0.84908,            0.013879,           0.0045543,           0.0014901,           0.0087804,           0.0087804,           0.0087804
                  26,            0.019248,           0.0074536,           0.0055233,             0.98837,             0.98972,              0.9942,             0.84982,            0.013865,           0.0044821,            0.001693,            0.008682,            0.008682,            0.008682
                  27,            0.019133,           0.0074055,           0.0055362,             0.98781,             0.99118,             0.99309,               0.851,            0.013802,           0.0044617,           0.0016281,           0.0085805,           0.0085805,           0.0085805
                  28,            0.018969,           0.0074334,           0.0055676,             0.99227,              0.9902,             0.99431,             0.85177,            0.013657,           0.0044218,           0.0015341,           0.0084759,           0.0084759,           0.0084759
                  29,            0.018909,           0.0074298,           0.0053514,             0.99234,             0.99095,             0.99403,             0.85172,            0.013572,           0.0043828,           0.0014246,           0.0083684,           0.0083684,           0.0083684
                  30,             0.01882,           0.0073463,           0.0053901,             0.99158,             0.99204,             0.99376,             0.85037,            0.013571,           0.0043858,           0.0014164,           0.0082581,           0.0082581,           0.0082581
                  31,            0.018761,           0.0073572,           0.0053112,             0.99237,             0.99224,             0.99396,             0.85322,            0.013542,           0.0043867,           0.0013528,            0.008145,            0.008145,            0.008145
                  32,            0.018516,           0.0071945,           0.0051289,             0.99227,              0.9902,             0.99394,             0.85551,            0.013441,           0.0043335,           0.0013964,           0.0080294,           0.0080294,           0.0080294
                  33,              0.0185,           0.0072574,           0.0052716,             0.99444,             0.98944,             0.99335,             0.85323,            0.013418,           0.0043275,           0.0014108,           0.0079112,           0.0079112,           0.0079112
                  34,            0.018394,           0.0072268,           0.0052067,             0.99415,             0.99054,             0.99337,             0.85576,            0.013325,           0.0043101,           0.0013865,           0.0077907,           0.0077907,           0.0077907
                  35,            0.018327,           0.0072233,           0.0049999,             0.99392,             0.99298,             0.99312,             0.85635,            0.013338,           0.0043156,           0.0013146,           0.0076679,           0.0076679,           0.0076679
