               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.065382,            0.025228,            0.018338,              0.4237,             0.54796,             0.41797,             0.14222,            0.037615,             0.01095,           0.0055176,           0.0033247,           0.0033247,            0.070078
                   1,            0.047774,            0.019516,           0.0072776,             0.53764,             0.51288,             0.49503,             0.19794,            0.036062,            0.010784,           0.0052821,           0.0066579,           0.0066579,            0.040078
                   2,            0.045813,            0.019737,           0.0095958,             0.35814,             0.40704,             0.30312,             0.10029,             0.04261,            0.011294,           0.0097015,           0.0099908,           0.0099908,            0.010078
                   3,            0.043431,            0.020133,           0.0094616,             0.60103,             0.58087,             0.57662,             0.24869,            0.032909,           0.0099509,           0.0068568,           0.0099988,           0.0099988,           0.0099988
                   4,            0.040388,            0.019242,            0.008005,             0.65819,             0.65936,              0.6651,             0.31538,            0.028292,           0.0092966,           0.0035627,           0.0099988,           0.0099988,           0.0099988
                   5,            0.038691,            0.018637,           0.0072474,             0.73215,             0.66905,             0.71771,             0.35431,            0.028406,           0.0089801,           0.0034095,           0.0099978,           0.0099978,           0.0099978
                   6,            0.037987,            0.018635,           0.0072585,              0.6674,             0.67463,             0.69692,             0.33891,            0.027606,           0.0092165,           0.0031544,           0.0099965,           0.0099965,           0.0099965
                   7,            0.036937,            0.018088,            0.007002,             0.71431,              0.7079,             0.73743,             0.40233,            0.026182,           0.0084556,           0.0075249,            0.009995,            0.009995,            0.009995
                   8,            0.035468,            0.017686,           0.0058632,             0.67858,             0.65223,             0.69979,             0.36033,            0.027328,           0.0089222,           0.0069197,           0.0099932,           0.0099932,           0.0099932
                   9,            0.035481,             0.01785,           0.0064576,             0.78469,             0.74435,             0.80312,             0.43945,            0.025457,           0.0081876,           0.0028901,           0.0099911,           0.0099911,           0.0099911
                  10,            0.034534,            0.017279,           0.0059941,             0.76063,             0.78891,             0.81981,             0.47819,            0.023254,           0.0078031,           0.0023146,           0.0099888,           0.0099888,           0.0099888
                  11,              0.0338,             0.01714,           0.0055959,             0.76876,               0.795,             0.82579,             0.47292,            0.023507,           0.0076213,           0.0025334,           0.0099861,           0.0099861,           0.0099861
                  12,              0.0336,            0.016824,           0.0055491,             0.78247,             0.78281,             0.82835,              0.4903,            0.023203,           0.0076094,           0.0026088,           0.0099832,           0.0099832,           0.0099832
                  13,            0.033879,            0.017086,           0.0056756,             0.79809,             0.78148,             0.83989,             0.49659,            0.022969,           0.0075142,           0.0021359,             0.00998,             0.00998,             0.00998
                  14,            0.033343,             0.01675,           0.0049705,             0.78881,             0.79531,             0.84006,             0.50564,            0.022462,           0.0074535,           0.0024691,           0.0099766,           0.0099766,           0.0099766
                  15,            0.032803,             0.01665,           0.0050574,             0.78235,             0.80379,             0.85094,             0.52127,            0.021898,           0.0073943,            0.002253,           0.0099728,           0.0099728,           0.0099728
                  16,            0.032126,            0.016405,           0.0049082,             0.81422,              0.7861,             0.84944,             0.51833,            0.021129,           0.0073467,           0.0024577,           0.0099688,           0.0099688,           0.0099688
                  17,            0.031978,            0.016524,           0.0047488,             0.81175,             0.80991,             0.86271,             0.53927,            0.021232,           0.0072028,           0.0019305,           0.0099645,           0.0099645,           0.0099645
                  18,            0.031456,            0.016153,           0.0044271,               0.795,             0.83275,             0.86512,             0.54328,             0.02097,           0.0070881,           0.0018697,           0.0099599,           0.0099599,           0.0099599
                  19,            0.031874,            0.016188,           0.0045044,             0.83189,             0.81998,             0.87932,             0.56417,            0.020429,            0.006989,           0.0017087,           0.0099551,           0.0099551,           0.0099551
                  20,            0.031102,            0.015887,           0.0044098,             0.80781,             0.81173,             0.86576,             0.53882,            0.020734,            0.007113,           0.0017469,             0.00995,             0.00995,             0.00995
                  21,            0.030742,            0.015881,           0.0043123,             0.82666,             0.83087,             0.88117,             0.56802,             0.02001,           0.0068211,           0.0015622,           0.0099446,           0.0099446,           0.0099446
                  22,            0.030735,            0.015778,           0.0046715,             0.81742,             0.84489,             0.88096,             0.57226,            0.019814,           0.0068868,           0.0014102,           0.0099389,           0.0099389,           0.0099389
                  23,            0.030723,            0.015991,           0.0044227,             0.80394,             0.83444,             0.88038,             0.56646,            0.020236,           0.0068963,           0.0016956,            0.009933,            0.009933,            0.009933
                  24,            0.030757,            0.015689,           0.0044995,             0.84518,             0.81432,             0.88384,             0.57738,            0.019656,           0.0068448,           0.0018581,           0.0099268,           0.0099268,           0.0099268
                  25,            0.030661,            0.015811,            0.004643,             0.80618,              0.8535,             0.88493,             0.57377,            0.019695,            0.006887,           0.0018086,           0.0099203,           0.0099203,           0.0099203
                  26,            0.030555,            0.015695,           0.0044688,             0.84993,             0.82491,             0.89401,             0.57777,            0.019246,           0.0067395,           0.0013734,           0.0099135,           0.0099135,           0.0099135
                  27,            0.030699,            0.016212,           0.0055791,             0.83313,             0.81488,             0.88004,             0.55759,             0.02028,           0.0069753,           0.0017277,           0.0099065,           0.0099065,           0.0099065
