               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.034504,             0.01166,            0.026313,             0.98804,               0.983,              0.9934,             0.82375,            0.015113,           0.0049295,           0.0028343,            0.003333,            0.003333,            0.070003
                   1,            0.022001,           0.0080325,           0.0079502,             0.99318,             0.98964,             0.99416,             0.84693,            0.013717,           0.0044375,           0.0017146,           0.0066648,           0.0066648,            0.040002
                   2,            0.020456,           0.0078692,           0.0073481,             0.99333,             0.98991,             0.99426,             0.85116,            0.013828,           0.0045101,           0.0016724,           0.0099908,           0.0099908,           0.0099944
                   3,            0.019727,            0.007686,           0.0067557,             0.99304,             0.99057,             0.99431,             0.85261,             0.01391,           0.0045359,           0.0015366,             0.00998,             0.00998,             0.00998
                   4,              0.0191,           0.0074736,           0.0062156,             0.99372,             0.99224,             0.99438,             0.85634,            0.013441,           0.0043165,           0.0012661,             0.00998,             0.00998,             0.00998
                   5,            0.018886,           0.0073752,           0.0060346,             0.99422,             0.99301,             0.99439,             0.85817,            0.013204,           0.0042265,           0.0011375,           0.0099645,           0.0099645,           0.0099645
                   6,            0.018744,           0.0073247,           0.0059452,             0.99466,             0.99308,             0.99437,             0.85985,            0.013046,           0.0041815,           0.0010703,           0.0099446,           0.0099446,           0.0099446
                   7,            0.018641,           0.0072825,           0.0058425,              0.9947,             0.99338,              0.9944,             0.86065,            0.012951,           0.0041548,           0.0010357,           0.0099203,           0.0099203,           0.0099203
                   8,            0.018549,           0.0072495,           0.0057146,             0.99421,             0.99416,              0.9944,             0.86096,            0.012906,           0.0041406,           0.0010123,           0.0098916,           0.0098916,           0.0098916
                   9,            0.018478,           0.0072112,           0.0056862,             0.99469,             0.99378,             0.99441,             0.86133,            0.012888,            0.004135,          0.00099277,           0.0098586,           0.0098586,           0.0098586
                  10,            0.018407,           0.0072044,            0.005643,             0.99472,             0.99392,              0.9944,             0.86129,            0.012862,           0.0041288,          0.00097533,           0.0098213,           0.0098213,           0.0098213
                  11,             0.01836,           0.0071849,           0.0056053,             0.99442,             0.99437,             0.99438,             0.86196,            0.012825,           0.0041163,          0.00097024,           0.0097798,           0.0097798,           0.0097798
                  12,            0.018261,           0.0071588,           0.0055471,              0.9952,             0.99368,             0.99438,             0.86224,            0.012811,           0.0041112,           0.0009546,            0.009734,            0.009734,            0.009734
                  13,            0.018213,           0.0071278,           0.0054923,             0.99495,              0.9942,             0.99437,              0.8624,            0.012784,           0.0041023,          0.00094555,            0.009684,            0.009684,            0.009684
                  14,            0.018199,           0.0071163,           0.0054736,             0.99554,             0.99372,             0.99439,             0.86255,            0.012764,           0.0040992,          0.00093702,           0.0096299,           0.0096299,           0.0096299
                  15,            0.018137,           0.0071007,           0.0054346,             0.99508,             0.99404,             0.99437,             0.86325,            0.012749,           0.0040914,          0.00092527,           0.0095717,           0.0095717,           0.0095717
                  16,            0.018103,            0.007074,           0.0054182,             0.99478,             0.99453,             0.99442,             0.86338,            0.012755,           0.0040943,           0.0009133,           0.0095095,           0.0095095,           0.0095095
                  17,             0.01808,           0.0070801,           0.0053713,             0.99571,             0.99374,             0.99444,             0.86327,            0.012728,           0.0040865,          0.00090534,           0.0094434,           0.0094434,           0.0094434
                  18,            0.017993,           0.0070515,           0.0053101,             0.99558,             0.99391,             0.99443,             0.86353,            0.012708,           0.0040818,          0.00089789,           0.0093733,           0.0093733,           0.0093733
                  19,            0.017975,           0.0070353,            0.005282,             0.99535,              0.9944,             0.99442,             0.86383,            0.012696,           0.0040759,          0.00088746,           0.0092995,           0.0092995,           0.0092995
                  20,            0.017923,           0.0070334,            0.005263,             0.99615,             0.99363,             0.99445,             0.86389,            0.012695,           0.0040723,          0.00088597,           0.0092219,           0.0092219,           0.0092219
                  21,            0.017878,           0.0069968,           0.0052447,             0.99577,             0.99393,             0.99443,             0.86397,            0.012674,            0.004066,          0.00088467,           0.0091406,           0.0091406,           0.0091406
                  22,            0.017825,           0.0069958,           0.0052084,             0.99572,             0.99412,             0.99444,             0.86444,            0.012665,           0.0040627,           0.0008719,           0.0090557,           0.0090557,           0.0090557
                  23,            0.017815,           0.0069835,           0.0051947,             0.99527,             0.99469,             0.99442,             0.86423,            0.012667,            0.004063,          0.00087042,           0.0089673,           0.0089673,           0.0089673
