               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.03696,            0.011887,            0.026996,             0.98813,             0.98481,             0.99372,             0.81901,            0.015612,           0.0051388,           0.0027883,            0.003333,            0.003333,            0.070003
                   1,            0.023021,           0.0081027,           0.0076999,             0.99268,             0.99102,             0.99428,             0.84754,            0.013801,           0.0044911,           0.0016531,           0.0066648,           0.0066648,            0.040002
                   2,            0.020929,           0.0077864,           0.0071674,             0.99313,             0.99148,             0.99437,             0.84661,            0.014179,           0.0045837,           0.0015771,           0.0099908,           0.0099908,           0.0099944
                   3,            0.019907,           0.0075551,           0.0065922,             0.99349,             0.99155,              0.9944,             0.84664,            0.014444,           0.0046411,           0.0014571,             0.00998,             0.00998,             0.00998
                   4,            0.019196,            0.007327,           0.0060076,             0.99478,             0.99221,             0.99442,             0.85539,            0.013639,           0.0043606,           0.0012167,             0.00998,             0.00998,             0.00998
                   5,            0.018887,            0.007218,           0.0058072,             0.99429,             0.99377,             0.99444,             0.85932,            0.013197,            0.004213,           0.0010986,           0.0099645,           0.0099645,           0.0099645
                   6,              0.0187,           0.0071574,           0.0056749,             0.99488,             0.99366,             0.99444,             0.86195,            0.012963,           0.0041382,           0.0010381,           0.0099446,           0.0099446,           0.0099446
                   7,             0.01856,           0.0071215,           0.0055614,             0.99518,             0.99376,             0.99442,              0.8632,             0.01282,            0.004098,           0.0010026,           0.0099203,           0.0099203,           0.0099203
                   8,            0.018447,           0.0070753,           0.0055178,             0.99518,             0.99392,             0.99443,             0.86394,            0.012748,           0.0040787,          0.00098084,           0.0098916,           0.0098916,           0.0098916
                   9,            0.018362,           0.0070523,           0.0054573,             0.99555,             0.99375,             0.99445,              0.8645,            0.012698,           0.0040617,          0.00095952,           0.0098586,           0.0098586,           0.0098586
                  10,            0.018274,           0.0070132,           0.0053901,             0.99582,              0.9936,             0.99444,              0.8653,             0.01265,           0.0040504,          0.00094267,           0.0098213,           0.0098213,           0.0098213
                  11,            0.018197,           0.0070062,           0.0053293,             0.99604,             0.99335,             0.99444,             0.86562,            0.012611,           0.0040396,          0.00093314,           0.0097798,           0.0097798,           0.0097798
                  12,            0.018132,           0.0069733,           0.0052663,             0.99545,             0.99419,             0.99447,              0.8661,            0.012585,           0.0040287,          0.00091588,            0.009734,            0.009734,            0.009734
                  13,            0.018058,           0.0069584,           0.0052312,             0.99543,             0.99434,             0.99442,             0.86628,            0.012554,           0.0040222,          0.00090737,            0.009684,            0.009684,            0.009684
                  14,            0.017983,           0.0069295,           0.0051941,             0.99579,             0.99401,             0.99443,              0.8664,            0.012568,           0.0040245,          0.00089859,           0.0096299,           0.0096299,           0.0096299
                  15,            0.017948,           0.0069298,           0.0051789,             0.99589,             0.99413,             0.99445,             0.86685,            0.012537,           0.0040147,          0.00089265,           0.0095717,           0.0095717,           0.0095717
                  16,            0.017884,           0.0069014,           0.0051407,             0.99533,             0.99481,             0.99445,             0.86722,            0.012502,           0.0040014,          0.00089005,           0.0095095,           0.0095095,           0.0095095
                  17,            0.017831,           0.0068853,           0.0050726,             0.99494,             0.99514,             0.99446,             0.86691,            0.012516,           0.0040047,          0.00088358,           0.0094434,           0.0094434,           0.0094434
                  18,            0.017757,            0.006863,           0.0050519,             0.99496,             0.99526,             0.99446,             0.86768,            0.012474,            0.003993,          0.00087418,           0.0093733,           0.0093733,           0.0093733
                  19,            0.017761,           0.0068628,           0.0050567,             0.99598,             0.99418,             0.99449,             0.86791,            0.012452,           0.0039885,          0.00086778,           0.0092995,           0.0092995,           0.0092995
                  20,            0.017682,           0.0068403,           0.0049956,             0.99523,             0.99493,             0.99449,             0.86799,            0.012464,             0.00399,           0.0008572,           0.0092219,           0.0092219,           0.0092219
                  21,            0.017638,           0.0068211,           0.0049619,             0.99563,             0.99448,             0.99451,             0.86786,            0.012465,           0.0039866,          0.00085309,           0.0091406,           0.0091406,           0.0091406
                  22,            0.017612,           0.0068143,           0.0049621,             0.99561,             0.99476,             0.99449,             0.86789,            0.012461,           0.0039849,          0.00084918,           0.0090557,           0.0090557,           0.0090557
                  23,            0.017572,           0.0068151,           0.0049126,             0.99542,             0.99491,             0.99451,             0.86755,            0.012478,           0.0039886,          0.00084263,           0.0089673,           0.0089673,           0.0089673
                  24,            0.017513,           0.0067775,           0.0048469,             0.99582,             0.99445,             0.99451,             0.86801,            0.012449,           0.0039824,          0.00083647,           0.0088755,           0.0088755,           0.0088755
                  25,            0.017469,           0.0067705,           0.0048555,             0.99584,             0.99437,              0.9945,             0.86856,            0.012433,           0.0039778,          0.00083609,           0.0087804,           0.0087804,           0.0087804
                  26,            0.017428,           0.0067602,           0.0048275,              0.9951,             0.99523,             0.99449,             0.86863,            0.012437,           0.0039795,          0.00083201,            0.008682,            0.008682,            0.008682
                  27,            0.017378,           0.0067348,           0.0047758,             0.99599,             0.99456,             0.99449,             0.86871,            0.012415,            0.003973,          0.00082183,           0.0085805,           0.0085805,           0.0085805
                  28,            0.017342,            0.006732,           0.0047558,             0.99579,             0.99459,             0.99449,             0.86874,            0.012409,            0.003972,          0.00082111,           0.0084759,           0.0084759,           0.0084759
                  29,            0.017299,           0.0067163,           0.0047372,             0.99611,             0.99443,             0.99449,             0.86897,            0.012386,           0.0039651,          0.00081191,           0.0083684,           0.0083684,           0.0083684
                  30,            0.017284,           0.0067182,           0.0046965,             0.99538,             0.99516,             0.99451,             0.86893,            0.012402,           0.0039671,          0.00080022,           0.0082581,           0.0082581,           0.0082581
                  31,            0.017245,           0.0066988,           0.0046965,             0.99571,             0.99486,             0.99451,             0.86911,            0.012385,           0.0039594,          0.00079446,            0.008145,            0.008145,            0.008145
                  32,            0.017178,           0.0066778,           0.0046692,             0.99558,              0.9952,              0.9945,             0.86954,            0.012354,           0.0039533,          0.00078041,           0.0080294,           0.0080294,           0.0080294
                  33,            0.017127,           0.0066614,           0.0046234,             0.99535,             0.99544,             0.99451,             0.86961,            0.012355,           0.0039555,          0.00077753,           0.0079112,           0.0079112,           0.0079112
                  34,            0.017079,           0.0066562,           0.0045986,             0.99614,             0.99493,             0.99454,             0.86997,            0.012325,           0.0039435,          0.00076758,           0.0077907,           0.0077907,           0.0077907
                  35,            0.017032,           0.0066358,           0.0045396,             0.99623,             0.99472,             0.99452,             0.86999,             0.01233,           0.0039437,          0.00076561,           0.0076679,           0.0076679,           0.0076679
                  36,            0.016973,           0.0066332,           0.0045274,             0.99585,             0.99524,             0.99452,             0.86977,            0.012323,           0.0039393,          0.00075588,            0.007543,            0.007543,            0.007543
                  37,            0.016952,           0.0066132,           0.0045005,             0.99634,             0.99476,             0.99454,             0.87001,            0.012308,            0.003938,           0.0007561,            0.007416,            0.007416,            0.007416
                  38,            0.016885,           0.0065976,           0.0044426,             0.99615,             0.99494,             0.99456,             0.87012,            0.012309,            0.003939,          0.00075204,           0.0072872,           0.0072872,           0.0072872
                  39,            0.016855,            0.006589,            0.004466,             0.99622,             0.99515,             0.99457,             0.87036,            0.012293,           0.0039361,          0.00073926,           0.0071566,           0.0071566,           0.0071566
                  40,            0.016792,             0.00658,           0.0044232,             0.99582,              0.9954,             0.99456,              0.8706,            0.012282,           0.0039285,          0.00073658,           0.0070243,           0.0070243,           0.0070243
                  41,            0.016749,            0.006557,           0.0043754,             0.99616,             0.99491,             0.99458,              0.8707,            0.012267,           0.0039235,            0.000737,           0.0068906,           0.0068906,           0.0068906
                  42,            0.016701,           0.0065392,           0.0043529,             0.99627,             0.99496,             0.99458,             0.87054,            0.012272,           0.0039243,           0.0007286,           0.0067555,           0.0067555,           0.0067555
                  43,            0.016654,           0.0065267,           0.0042901,             0.99618,             0.99527,             0.99457,             0.87078,            0.012264,           0.0039225,          0.00072125,           0.0066191,           0.0066191,           0.0066191
                  44,             0.01659,           0.0065032,           0.0042824,             0.99594,             0.99541,             0.99456,             0.87118,            0.012255,           0.0039203,          0.00071757,           0.0064816,           0.0064816,           0.0064816
                  45,            0.016561,           0.0064883,            0.004249,             0.99601,              0.9955,             0.99459,             0.87134,            0.012245,           0.0039142,          0.00071095,           0.0063432,           0.0063432,           0.0063432
                  46,            0.016485,           0.0064693,           0.0042271,             0.99571,               0.996,             0.99459,             0.87159,            0.012234,           0.0039065,          0.00069974,            0.006204,            0.006204,            0.006204
                  47,            0.016437,           0.0064439,           0.0041838,             0.99585,             0.99576,             0.99457,             0.87229,            0.012214,           0.0039008,          0.00070052,            0.006064,            0.006064,            0.006064
                  48,            0.016381,           0.0064429,           0.0041408,              0.9957,             0.99581,             0.99457,             0.87174,             0.01222,           0.0039013,          0.00069794,           0.0059235,           0.0059235,           0.0059235
                  49,             0.01633,           0.0064246,           0.0041166,             0.99626,             0.99556,             0.99458,             0.87205,             0.01222,           0.0039015,          0.00068667,           0.0057826,           0.0057826,           0.0057826
                  50,            0.016287,           0.0064136,           0.0040871,             0.99573,             0.99607,             0.99457,             0.87236,            0.012215,           0.0038994,           0.0006761,           0.0056413,           0.0056413,           0.0056413
                  51,            0.016204,           0.0063905,           0.0040421,             0.99615,             0.99575,             0.99458,             0.87227,            0.012204,           0.0038936,          0.00067191,              0.0055,              0.0055,              0.0055
                  52,            0.016156,           0.0063667,           0.0040133,             0.99606,             0.99606,              0.9946,             0.87222,            0.012192,           0.0038893,          0.00066289,           0.0053587,           0.0053587,           0.0053587
                  53,            0.016127,            0.006362,           0.0039977,             0.99585,             0.99624,              0.9946,             0.87252,            0.012178,           0.0038846,          0.00065935,           0.0052174,           0.0052174,           0.0052174
                  54,            0.016051,           0.0063373,           0.0039368,             0.99627,             0.99567,             0.99459,             0.87265,            0.012173,           0.0038829,          0.00066004,           0.0050765,           0.0050765,           0.0050765
                  55,            0.016003,           0.0063128,           0.0039171,             0.99643,             0.99564,              0.9946,             0.87305,            0.012158,           0.0038782,          0.00065175,            0.004936,            0.004936,            0.004936
                  56,            0.015964,           0.0063046,           0.0039077,             0.99651,             0.99569,             0.99459,             0.87318,            0.012146,           0.0038725,           0.0006422,            0.004796,            0.004796,            0.004796
                  57,            0.015888,           0.0062932,           0.0038393,             0.99637,             0.99592,             0.99461,             0.87346,            0.012133,           0.0038671,          0.00063493,           0.0046568,           0.0046568,           0.0046568
                  58,            0.015812,           0.0062647,           0.0038431,             0.99647,             0.99573,             0.99461,             0.87359,             0.01213,           0.0038642,          0.00063128,           0.0045184,           0.0045184,           0.0045184
                  59,            0.015781,           0.0062561,           0.0037709,             0.99661,             0.99564,             0.99461,             0.87418,            0.012103,           0.0038569,          0.00062856,           0.0043809,           0.0043809,           0.0043809
                  60,            0.015695,           0.0062366,           0.0037547,             0.99601,             0.99631,              0.9946,             0.87408,            0.012104,           0.0038566,          0.00062236,           0.0042445,           0.0042445,           0.0042445
                  61,            0.015659,           0.0062146,           0.0037295,             0.99615,             0.99624,             0.99461,             0.87412,            0.012099,           0.0038561,          0.00061199,           0.0041094,           0.0041094,           0.0041094
                  62,            0.015599,           0.0061956,            0.003673,             0.99588,              0.9966,             0.99461,             0.87422,            0.012087,           0.0038517,          0.00060389,           0.0039757,           0.0039757,           0.0039757
                  63,            0.015514,           0.0061761,           0.0036331,             0.99616,             0.99643,             0.99462,             0.87455,            0.012074,           0.0038466,          0.00059441,           0.0038434,           0.0038434,           0.0038434
                  64,            0.015464,           0.0061686,           0.0036128,             0.99658,              0.9961,             0.99464,             0.87478,            0.012066,           0.0038441,          0.00058611,           0.0037128,           0.0037128,           0.0037128
                  65,            0.015406,           0.0061429,           0.0035437,             0.99677,             0.99597,             0.99464,             0.87479,            0.012062,           0.0038452,          0.00058264,            0.003584,            0.003584,            0.003584
