               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.034159,            0.010986,            0.025022,             0.98874,             0.98612,             0.99374,             0.83113,            0.014704,           0.0047983,           0.0026782,            0.003333,            0.003333,            0.070003
                   1,            0.021607,           0.0078209,           0.0074381,             0.99323,             0.99158,             0.99435,             0.85183,            0.013456,           0.0043717,            0.001611,           0.0066648,           0.0066648,            0.040002
                   2,            0.020241,           0.0077785,             0.00709,             0.99302,              0.9919,             0.99432,             0.85591,              0.0136,           0.0044405,           0.0015831,           0.0099908,           0.0099908,           0.0099944
                   3,            0.019585,           0.0076213,           0.0065191,             0.99385,             0.99142,             0.99433,             0.85772,            0.013644,           0.0044476,           0.0014691,             0.00998,             0.00998,             0.00998
                   4,             0.01897,           0.0074012,           0.0060358,             0.99365,             0.99322,             0.99437,             0.86012,            0.013235,           0.0042774,           0.0012215,             0.00998,             0.00998,             0.00998
                   5,            0.018771,           0.0073301,           0.0058534,             0.99429,             0.99343,             0.99437,             0.86083,             0.01303,           0.0042045,           0.0011077,           0.0099645,           0.0099645,           0.0099645
                   6,            0.018635,           0.0072898,           0.0057244,             0.99478,             0.99349,              0.9944,             0.86131,            0.012942,           0.0041712,           0.0010472,           0.0099446,           0.0099446,           0.0099446
                   7,            0.018554,           0.0072549,           0.0056281,             0.99462,             0.99381,             0.99438,             0.86173,            0.012881,            0.004152,            0.001014,           0.0099203,           0.0099203,           0.0099203
                   8,            0.018468,           0.0072244,           0.0055822,             0.99483,             0.99405,             0.99437,             0.86193,            0.012849,            0.004135,          0.00099076,           0.0098916,           0.0098916,           0.0098916
                   9,            0.018393,           0.0071928,           0.0055164,               0.995,              0.9941,             0.99437,             0.86244,            0.012826,           0.0041247,          0.00096627,           0.0098586,           0.0098586,           0.0098586
                  10,            0.018345,           0.0071792,           0.0054728,             0.99509,             0.99411,             0.99438,             0.86257,            0.012805,           0.0041159,           0.0009524,           0.0098213,           0.0098213,           0.0098213
                  11,            0.018267,           0.0071419,           0.0054131,              0.9948,             0.99448,             0.99441,             0.86296,            0.012781,           0.0041068,           0.0009459,           0.0097798,           0.0097798,           0.0097798
                  12,            0.018237,           0.0071494,           0.0054034,             0.99481,             0.99462,             0.99443,             0.86327,            0.012775,            0.004107,          0.00093198,            0.009734,            0.009734,            0.009734
                  13,            0.018185,           0.0071173,           0.0053832,             0.99515,             0.99446,             0.99443,             0.86359,            0.012756,           0.0041006,          0.00092576,            0.009684,            0.009684,            0.009684
                  14,             0.01816,           0.0071102,           0.0053317,             0.99522,             0.99448,             0.99446,             0.86383,            0.012731,            0.004093,           0.0009201,           0.0096299,           0.0096299,           0.0096299
                  15,            0.018082,           0.0070824,           0.0052899,              0.9953,             0.99437,             0.99446,             0.86376,            0.012719,            0.004087,          0.00091387,           0.0095717,           0.0095717,           0.0095717
                  16,            0.018074,           0.0070743,           0.0053133,             0.99519,             0.99454,             0.99447,             0.86428,            0.012711,           0.0040831,          0.00090779,           0.0095095,           0.0095095,           0.0095095
                  17,            0.018029,            0.007064,            0.005239,             0.99533,             0.99434,             0.99445,             0.86461,            0.012691,           0.0040806,           0.0009039,           0.0094434,           0.0094434,           0.0094434
                  18,            0.017985,           0.0070552,           0.0052108,             0.99593,             0.99391,             0.99447,             0.86471,            0.012681,           0.0040795,          0.00089275,           0.0093733,           0.0093733,           0.0093733
                  19,             0.01791,           0.0070176,           0.0051331,             0.99506,             0.99488,             0.99445,             0.86514,            0.012652,           0.0040703,          0.00088554,           0.0092995,           0.0092995,           0.0092995
                  20,            0.017926,           0.0070445,           0.0051712,             0.99608,             0.99401,             0.99444,             0.86528,            0.012649,           0.0040701,          0.00088195,           0.0092219,           0.0092219,           0.0092219
                  21,            0.017866,           0.0070027,           0.0051352,             0.99582,             0.99432,             0.99444,             0.86514,            0.012647,            0.004069,          0.00087038,           0.0091406,           0.0091406,           0.0091406
                  22,            0.017805,           0.0069931,           0.0050802,             0.99539,             0.99471,             0.99446,             0.86498,            0.012645,           0.0040664,          0.00086191,           0.0090557,           0.0090557,           0.0090557
                  23,            0.017786,           0.0069912,           0.0050437,             0.99578,             0.99417,             0.99446,             0.86545,            0.012646,           0.0040635,           0.0008577,           0.0089673,           0.0089673,           0.0089673
                  24,            0.017744,           0.0069647,            0.005001,             0.99528,             0.99498,             0.99445,             0.86587,            0.012618,           0.0040561,          0.00084931,           0.0088755,           0.0088755,           0.0088755
                  25,            0.017693,           0.0069441,            0.004993,             0.99566,             0.99465,             0.99444,             0.86616,            0.012601,            0.004052,          0.00084801,           0.0087804,           0.0087804,           0.0087804
                  26,            0.017663,           0.0069359,           0.0050166,             0.99563,             0.99457,             0.99444,             0.86626,            0.012601,           0.0040511,          0.00084271,            0.008682,            0.008682,            0.008682
                  27,             0.01761,           0.0069262,           0.0049423,             0.99571,             0.99478,             0.99446,             0.86641,             0.01259,           0.0040453,          0.00082548,           0.0085805,           0.0085805,           0.0085805
                  28,            0.017571,           0.0069205,           0.0049048,              0.9959,             0.99455,             0.99447,             0.86672,            0.012582,            0.004043,          0.00082203,           0.0084759,           0.0084759,           0.0084759
                  29,            0.017588,            0.006922,           0.0049087,             0.99605,              0.9945,             0.99444,             0.86698,            0.012573,           0.0040373,          0.00081818,           0.0083684,           0.0083684,           0.0083684
                  30,            0.017491,           0.0068839,           0.0048369,             0.99604,              0.9948,             0.99445,             0.86723,             0.01256,           0.0040314,          0.00081011,           0.0082581,           0.0082581,           0.0082581
                  31,            0.017477,           0.0068723,           0.0048638,             0.99582,             0.99501,             0.99448,             0.86711,            0.012565,           0.0040311,          0.00080224,            0.008145,            0.008145,            0.008145
                  32,            0.017414,           0.0068778,           0.0048039,             0.99536,             0.99529,             0.99444,             0.86694,            0.012567,           0.0040322,          0.00080036,           0.0080294,           0.0080294,           0.0080294
                  33,            0.017411,           0.0068576,           0.0048015,             0.99584,             0.99473,             0.99446,             0.86742,            0.012552,           0.0040277,           0.0007982,           0.0079112,           0.0079112,           0.0079112
                  34,            0.017325,           0.0068408,           0.0047418,             0.99605,             0.99477,             0.99445,             0.86771,            0.012531,           0.0040239,          0.00079151,           0.0077907,           0.0077907,           0.0077907
                  35,            0.017283,           0.0068165,           0.0047197,             0.99604,             0.99486,             0.99445,             0.86805,            0.012515,           0.0040157,          0.00078789,           0.0076679,           0.0076679,           0.0076679
                  36,            0.017212,           0.0067988,           0.0046936,             0.99592,             0.99508,             0.99444,             0.86807,            0.012502,           0.0040134,          0.00078034,            0.007543,            0.007543,            0.007543
                  37,            0.017212,           0.0067893,           0.0046801,              0.9958,             0.99519,             0.99447,             0.86847,            0.012496,           0.0040079,          0.00077308,            0.007416,            0.007416,            0.007416
                  38,            0.017148,           0.0067804,           0.0046354,             0.99575,             0.99508,             0.99447,             0.86893,            0.012479,           0.0040007,          0.00076797,           0.0072872,           0.0072872,           0.0072872
                  39,            0.017096,           0.0067565,           0.0046143,             0.99601,             0.99508,             0.99449,             0.86863,            0.012481,           0.0040052,          0.00076637,           0.0071566,           0.0071566,           0.0071566
                  40,            0.017059,           0.0067553,           0.0045783,             0.99614,             0.99488,             0.99449,              0.8687,            0.012465,           0.0040003,          0.00076071,           0.0070243,           0.0070243,           0.0070243
                  41,            0.017012,           0.0067252,           0.0045347,             0.99554,              0.9955,             0.99447,             0.86923,            0.012456,           0.0039979,          0.00075528,           0.0068906,           0.0068906,           0.0068906
                  42,            0.016951,           0.0067162,           0.0045202,             0.99601,               0.995,              0.9945,             0.86926,            0.012454,           0.0039954,          0.00075446,           0.0067555,           0.0067555,           0.0067555
