               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.033165,            0.010419,            0.024341,             0.98982,             0.98535,             0.99373,             0.83543,             0.01456,           0.0047118,           0.0026783,            0.003333,            0.003333,            0.070003
                   1,            0.021298,           0.0076858,           0.0072719,             0.99373,             0.99167,             0.99427,             0.85592,            0.013334,           0.0043096,           0.0015887,           0.0066648,           0.0066648,            0.040002
                   2,            0.020072,           0.0077142,           0.0069671,             0.99367,              0.9923,             0.99428,             0.85933,            0.013423,           0.0043702,           0.0015438,           0.0099908,           0.0099908,           0.0099944
                   3,            0.019451,           0.0075803,           0.0065002,              0.9941,             0.99196,             0.99425,             0.85941,             0.01353,           0.0044026,           0.0014404,             0.00998,             0.00998,             0.00998
                   4,             0.01886,           0.0073828,           0.0059895,               0.994,             0.99321,             0.99432,             0.86157,            0.013147,           0.0042363,           0.0012045,             0.00998,             0.00998,             0.00998
                   5,            0.018677,           0.0073191,           0.0058483,             0.99526,             0.99274,             0.99432,             0.86213,            0.012987,           0.0041753,           0.0010941,           0.0099645,           0.0099645,           0.0099645
                   6,            0.018543,           0.0072663,           0.0057733,             0.99456,             0.99363,             0.99433,             0.86242,            0.012902,            0.004146,           0.0010416,           0.0099446,           0.0099446,           0.0099446
                   7,            0.018477,           0.0072401,           0.0056804,             0.99522,             0.99334,             0.99432,             0.86244,            0.012868,           0.0041343,           0.0010129,           0.0099203,           0.0099203,           0.0099203
                   8,            0.018382,           0.0072044,           0.0056009,             0.99495,             0.99379,             0.99434,             0.86235,            0.012837,           0.0041252,          0.00099198,           0.0098916,           0.0098916,           0.0098916
                   9,             0.01837,           0.0072062,           0.0055814,             0.99463,             0.99411,             0.99435,             0.86252,            0.012819,           0.0041224,          0.00098194,           0.0098586,           0.0098586,           0.0098586
                  10,            0.018267,           0.0071676,           0.0055057,             0.99503,             0.99418,             0.99436,             0.86288,            0.012781,           0.0041114,          0.00097166,           0.0098213,           0.0098213,           0.0098213
                  11,            0.018218,           0.0071519,           0.0054663,             0.99514,             0.99407,             0.99439,             0.86289,             0.01277,           0.0041076,          0.00095893,           0.0097798,           0.0097798,           0.0097798
                  12,            0.018173,           0.0071414,           0.0054379,              0.9955,             0.99377,              0.9944,             0.86343,            0.012751,           0.0041039,          0.00094851,            0.009734,            0.009734,            0.009734
                  13,            0.018118,            0.007128,           0.0054001,             0.99525,             0.99431,             0.99438,             0.86367,            0.012736,           0.0040972,          0.00094029,            0.009684,            0.009684,            0.009684
                  14,            0.018078,           0.0070954,           0.0053628,             0.99485,             0.99463,              0.9944,             0.86344,            0.012715,           0.0040905,          0.00092902,           0.0096299,           0.0096299,           0.0096299
                  15,            0.018066,           0.0070925,           0.0053436,             0.99558,               0.994,             0.99442,             0.86359,             0.01271,           0.0040876,          0.00092087,           0.0095717,           0.0095717,           0.0095717
                  16,            0.017991,           0.0070855,           0.0052989,             0.99533,             0.99432,             0.99442,             0.86397,            0.012694,           0.0040842,          0.00091334,           0.0095095,           0.0095095,           0.0095095
                  17,            0.017985,           0.0070786,           0.0052883,             0.99511,             0.99485,             0.99442,             0.86423,            0.012682,           0.0040818,          0.00090803,           0.0094434,           0.0094434,           0.0094434
                  18,            0.017917,           0.0070544,           0.0051885,             0.99523,             0.99476,             0.99445,             0.86397,             0.01268,           0.0040799,          0.00089068,           0.0093733,           0.0093733,           0.0093733
                  19,            0.017915,           0.0070657,           0.0052445,             0.99509,             0.99483,             0.99444,             0.86465,            0.012659,            0.004075,          0.00088252,           0.0092995,           0.0092995,           0.0092995
                  20,             0.01788,           0.0070407,           0.0051624,             0.99539,             0.99451,             0.99442,             0.86477,            0.012673,           0.0040752,          0.00088828,           0.0092219,           0.0092219,           0.0092219
                  21,            0.017826,           0.0070277,           0.0051494,             0.99512,             0.99477,             0.99441,              0.8649,            0.012672,           0.0040729,          0.00088172,           0.0091406,           0.0091406,           0.0091406
                  22,            0.017772,           0.0069977,           0.0051176,             0.99525,             0.99467,             0.99443,              0.8649,            0.012654,           0.0040734,          0.00087422,           0.0090557,           0.0090557,           0.0090557
                  23,            0.017759,           0.0070072,           0.0051281,             0.99449,             0.99534,             0.99445,             0.86514,            0.012648,           0.0040677,          0.00086944,           0.0089673,           0.0089673,           0.0089673
                  24,             0.01772,           0.0069903,           0.0050736,             0.99497,             0.99488,             0.99446,             0.86521,            0.012644,           0.0040663,          0.00086486,           0.0088755,           0.0088755,           0.0088755
                  25,            0.017667,           0.0069566,           0.0050322,             0.99578,             0.99438,             0.99446,             0.86512,             0.01264,           0.0040655,          0.00085651,           0.0087804,           0.0087804,           0.0087804
                  26,            0.017656,           0.0069722,           0.0050288,              0.9951,             0.99507,             0.99445,             0.86526,            0.012643,           0.0040665,          0.00085032,            0.008682,            0.008682,            0.008682
                  27,            0.017597,           0.0069476,           0.0049871,             0.99541,             0.99479,             0.99442,             0.86548,            0.012617,           0.0040596,          0.00084924,           0.0085805,           0.0085805,           0.0085805
                  28,             0.01756,             0.00694,           0.0049537,             0.99555,             0.99464,             0.99444,             0.86583,            0.012616,            0.004055,          0.00084477,           0.0084759,           0.0084759,           0.0084759
                  29,            0.017537,           0.0069317,           0.0049564,             0.99515,             0.99495,             0.99444,             0.86582,            0.012604,           0.0040546,          0.00083753,           0.0083684,           0.0083684,           0.0083684
                  30,            0.017467,           0.0068934,           0.0048986,             0.99576,             0.99456,             0.99442,             0.86623,            0.012585,           0.0040476,          0.00083114,           0.0082581,           0.0082581,           0.0082581
                  31,            0.017437,           0.0068943,           0.0048772,             0.99568,             0.99475,             0.99443,             0.86639,            0.012574,           0.0040413,          0.00082417,            0.008145,            0.008145,            0.008145
                  32,            0.017379,           0.0068801,           0.0048537,             0.99538,             0.99509,             0.99445,             0.86646,            0.012559,           0.0040362,          0.00081866,           0.0080294,           0.0080294,           0.0080294
                  33,            0.017346,           0.0068632,           0.0048052,             0.99532,             0.99519,             0.99445,             0.86682,             0.01254,           0.0040299,          0.00081249,           0.0079112,           0.0079112,           0.0079112
                  34,            0.017292,           0.0068441,           0.0047953,             0.99561,             0.99505,              0.9945,             0.86688,            0.012545,           0.0040303,          0.00080274,           0.0077907,           0.0077907,           0.0077907
                  35,            0.017286,           0.0068476,           0.0047712,             0.99534,             0.99543,              0.9945,             0.86695,             0.01253,           0.0040238,          0.00079362,           0.0076679,           0.0076679,           0.0076679
                  36,            0.017221,           0.0068229,           0.0047233,             0.99576,             0.99509,             0.99449,             0.86745,            0.012509,           0.0040185,          0.00078396,            0.007543,            0.007543,            0.007543
                  37,            0.017171,           0.0068084,           0.0047145,             0.99571,             0.99519,             0.99451,             0.86752,            0.012501,           0.0040129,          0.00077746,            0.007416,            0.007416,            0.007416
                  38,            0.017137,           0.0067974,            0.004657,             0.99545,             0.99542,             0.99449,             0.86748,            0.012496,           0.0040107,          0.00076939,           0.0072872,           0.0072872,           0.0072872
                  39,            0.017084,           0.0067772,           0.0046447,             0.99542,              0.9956,             0.99448,              0.8676,            0.012488,           0.0040082,          0.00076252,           0.0071566,           0.0071566,           0.0071566
                  40,            0.017025,           0.0067625,           0.0045982,             0.99583,             0.99533,             0.99448,             0.86769,             0.01248,           0.0040083,           0.0007561,           0.0070243,           0.0070243,           0.0070243
                  41,            0.016975,           0.0067508,           0.0045738,             0.99613,             0.99533,             0.99449,             0.86779,            0.012464,           0.0040033,          0.00075129,           0.0068906,           0.0068906,           0.0068906
                  42,            0.016951,           0.0067343,           0.0045732,             0.99558,             0.99554,             0.99448,             0.86828,            0.012448,           0.0039962,          0.00075248,           0.0067555,           0.0067555,           0.0067555
                  43,            0.016882,           0.0067127,           0.0044856,             0.99616,             0.99505,              0.9945,             0.86847,            0.012431,           0.0039895,          0.00074741,           0.0066191,           0.0066191,           0.0066191
                  44,            0.016841,           0.0066978,           0.0044998,             0.99593,             0.99529,              0.9945,             0.86818,            0.012445,           0.0039918,          0.00074191,           0.0064816,           0.0064816,           0.0064816
                  45,            0.016777,           0.0066697,           0.0044412,             0.99585,             0.99544,             0.99451,             0.86852,             0.01244,           0.0039846,          0.00073678,           0.0063432,           0.0063432,           0.0063432
                  46,            0.016724,           0.0066586,           0.0043874,             0.99625,             0.99478,             0.99449,             0.86867,             0.01242,           0.0039798,          0.00073723,            0.006204,            0.006204,            0.006204
                  47,             0.01671,           0.0066531,           0.0043733,             0.99526,             0.99573,             0.99451,             0.86898,            0.012423,            0.003981,          0.00072821,            0.006064,            0.006064,            0.006064
                  48,            0.016604,           0.0066198,           0.0043254,             0.99569,             0.99528,             0.99449,             0.86914,             0.01241,           0.0039762,          0.00072657,           0.0059235,           0.0059235,           0.0059235
                  49,            0.016576,           0.0066242,           0.0043043,             0.99576,             0.99552,             0.99448,              0.8694,            0.012398,           0.0039727,          0.00072179,           0.0057826,           0.0057826,           0.0057826
                  50,             0.01652,           0.0065906,           0.0042606,             0.99571,             0.99577,             0.99449,                0.87,             0.01238,           0.0039633,          0.00071016,           0.0056413,           0.0056413,           0.0056413
                  51,            0.016453,           0.0065741,           0.0042379,             0.99576,             0.99603,             0.99449,             0.87018,            0.012363,            0.003959,          0.00069293,              0.0055,              0.0055,              0.0055
                  52,            0.016415,           0.0065661,           0.0042314,             0.99561,             0.99602,              0.9945,             0.87013,            0.012353,           0.0039543,          0.00068775,           0.0053587,           0.0053587,           0.0053587
                  53,            0.016336,           0.0065444,           0.0041599,             0.99616,             0.99554,             0.99451,             0.87029,            0.012338,           0.0039517,          0.00068195,           0.0052174,           0.0052174,           0.0052174
                  54,            0.016292,           0.0065052,           0.0041432,             0.99604,             0.99567,             0.99452,             0.87046,            0.012329,            0.003948,          0.00067803,           0.0050765,           0.0050765,           0.0050765
                  55,            0.016237,           0.0065012,            0.004113,             0.99649,              0.9954,             0.99454,             0.87091,            0.012328,           0.0039466,          0.00066808,            0.004936,            0.004936,            0.004936
                  56,            0.016164,           0.0064918,           0.0040385,              0.9963,             0.99575,             0.99455,             0.87107,            0.012326,           0.0039477,           0.0006625,            0.004796,            0.004796,            0.004796
                  57,            0.016116,           0.0064634,           0.0040181,             0.99624,             0.99575,             0.99453,             0.87104,            0.012306,           0.0039385,           0.0006624,           0.0046568,           0.0046568,           0.0046568
                  58,            0.016055,           0.0064473,            0.003984,             0.99611,             0.99592,             0.99453,             0.87114,            0.012298,           0.0039363,          0.00065586,           0.0045184,           0.0045184,           0.0045184
                  59,            0.015995,            0.006425,           0.0039581,              0.9961,             0.99594,             0.99455,             0.87143,            0.012279,           0.0039305,          0.00064353,           0.0043809,           0.0043809,           0.0043809
                  60,            0.015914,           0.0063908,           0.0039057,             0.99649,             0.99565,             0.99455,             0.87172,            0.012259,           0.0039221,          0.00063494,           0.0042445,           0.0042445,           0.0042445
                  61,            0.015882,           0.0063925,           0.0038571,             0.99613,             0.99607,             0.99455,             0.87205,            0.012261,           0.0039204,          0.00063266,           0.0041094,           0.0041094,           0.0041094
                  62,            0.015819,            0.006354,           0.0038391,             0.99661,             0.99558,             0.99457,             0.87238,            0.012255,           0.0039175,          0.00062977,           0.0039757,           0.0039757,           0.0039757
                  63,            0.015744,           0.0063302,           0.0037944,             0.99617,             0.99619,             0.99453,             0.87241,            0.012247,           0.0039129,          0.00062513,           0.0038434,           0.0038434,           0.0038434
                  64,             0.01568,            0.006317,           0.0037541,             0.99666,             0.99566,             0.99453,             0.87274,            0.012232,           0.0039071,          0.00062054,           0.0037128,           0.0037128,           0.0037128
                  65,            0.015617,           0.0062992,           0.0037268,             0.99592,             0.99617,             0.99455,             0.87279,            0.012216,           0.0039054,          0.00060941,            0.003584,            0.003584,            0.003584
                  66,            0.015557,           0.0062704,           0.0036696,             0.99649,             0.99578,             0.99457,             0.87298,            0.012202,           0.0038997,          0.00060197,            0.003457,            0.003457,            0.003457
                  67,            0.015495,           0.0062598,           0.0036267,             0.99693,             0.99562,             0.99457,             0.87335,            0.012198,           0.0038943,           0.0005937,           0.0033321,           0.0033321,           0.0033321
